study_hours,attendance,previous_marks,assignment_score,internal_marks,participation,final_marks
5.8,88.5,56.6,76.4,83.4,5.4,76.9
3.2,59.4,78.9,85.9,76.6,4.6,75.4
1.8,66.2,43.7,50.5,54.3,5.8,49.9
9.1,71.3,72.0,70.2,89.9,6.4,87.3
9.1,75.4,59.0,63.9,76.9,1.1,80.7
6.7,62.1,74.2,48.8,70.8,5.2,73.7
4.1,55.7,42.5,62.1,46.1,9.7,65.2
4.1,80.5,87.9,44.1,64.6,5.7,73.5
7.5,64.4,93.5,41.5,65.3,7.1,75.9
9.1,79.1,93.3,48.1,87.6,3.8,89.6
9.0,57.7,81.2,97.8,70.1,8.0,95.5
8.0,74.1,47.2,73.0,60.9,8.0,83.0
6.8,76.6,81.7,97.9,93.7,5.7,90.0
1.8,52.6,41.4,65.9,46.1,9.8,46.6
2.5,66.8,41.2,58.7,63.2,2.1,60.7
9.1,56.7,57.8,70.4,42.3,1.2,72.1
6.5,53.2,66.9,66.4,80.7,7.9,75.6
1.1,99.5,82.4,46.3,90.5,8.3,75.9
1.9,66.1,77.6,78.4,55.4,2.1,56.8
7.0,90.5,64.5,53.0,87.2,3.4,81.2
1.0,62.7,55.0,77.2,56.1,1.2,56.8
2.4,84.1,94.8,79.0,90.1,3.6,85.4
5.9,88.0,63.4,49.1,81.5,8.0,75.0
7.2,79.8,64.8,43.7,84.3,5.7,79.1
6.9,73.6,49.0,86.8,41.0,4.1,67.4
3.0,70.6,83.7,67.6,93.0,4.3,78.8
7.4,67.4,78.2,43.5,80.0,1.0,74.7
3.1,96.5,52.1,99.7,56.8,3.7,70.1
3.9,91.5,44.5,43.5,85.6,6.8,65.2
7.7,98.3,77.4,81.7,55.5,9.8,90.4
6.8,56.2,76.0,99.0,88.0,8.6,93.2
8.6,86.5,55.0,54.4,46.2,1.2,70.7
6.9,96.9,92.3,48.5,78.7,9.1,88.9
6.1,59.1,48.3,47.3,69.7,8.0,62.8
1.8,53.3,63.8,58.2,45.3,8.0,54.6
4.3,87.1,91.9,46.1,53.3,5.1,71.8
3.4,78.7,63.1,81.5,40.7,4.6,72.7
3.2,92.1,75.1,43.7,65.8,3.7,64.3
9.8,57.0,61.9,70.6,56.6,1.6,81.9
4.5,89.8,55.1,99.8,72.9,3.1,81.3
9.0,60.1,94.1,88.8,56.3,3.2,89.4
6.7,58.2,62.5,76.9,56.5,5.4,78.5
8.2,58.2,89.2,58.4,80.9,7.7,88.3
5.5,90.7,52.6,77.4,42.6,5.3,70.5
6.2,83.3,51.7,71.6,89.7,1.5,78.2
5.4,76.2,41.7,65.6,86.9,9.6,78.7
2.8,67.9,75.8,47.8,76.7,9.5,72.8
7.5,93.9,60.3,93.2,72.6,8.1,86.9
3.5,69.6,87.5,67.0,89.1,9.9,77.8
1.2,90.8,66.0,51.7,50.2,5.9,58.4
6.8,72.0,93.3,62.1,44.3,9.7,77.1
2.6,68.8,50.2,64.8,53.2,1.7,56.3
9.5,73.1,87.8,89.7,83.7,4.3,100.0
9.6,65.1,82.7,84.0,41.9,3.0,81.8
9.2,87.4,82.4,86.2,72.1,2.8,93.3
4.3,75.1,86.5,40.7,94.7,2.3,76.8
1.1,61.6,81.9,65.0,87.1,6.6,73.2
9.4,95.0,74.4,68.9,68.7,8.0,84.5
4.9,69.2,47.2,41.2,43.5,6.2,54.7
9.7,77.2,41.8,55.6,85.7,2.3,80.6
9.7,95.3,90.6,85.6,72.9,8.3,100.0
8.7,81.2,73.9,48.2,46.3,6.7,75.5
3.7,55.8,83.8,72.1,45.2,4.5,60.8
4.5,97.0,66.5,52.9,90.0,7.1,80.8
8.7,81.4,46.5,40.7,76.8,3.3,72.6
3.9,66.7,46.9,54.5,85.6,4.1,62.1
2.5,57.0,77.7,98.6,88.3,9.3,78.8
6.0,89.7,63.7,88.1,71.4,3.6,81.1
9.4,81.0,51.0,97.6,68.5,5.2,85.9
7.3,76.7,67.0,69.3,63.7,9.0,74.1
6.1,94.7,43.5,46.6,57.4,7.4,70.5
1.9,89.4,72.0,72.9,63.9,1.6,71.3
6.5,57.6,54.8,67.3,82.6,2.3,75.9
9.9,65.6,83.9,90.7,73.1,1.1,89.1
2.3,62.4,57.1,45.9,89.1,6.7,63.5
5.7,87.2,65.0,69.3,64.4,5.0,76.0
8.9,51.7,40.6,49.0,73.4,2.2,71.2
7.7,78.5,44.0,59.5,74.7,9.6,79.3
7.3,88.1,61.6,84.2,72.5,5.8,82.5
7.3,93.8,66.4,68.6,78.6,3.2,84.2
4.2,67.1,73.0,62.6,53.1,5.5,68.8
3.6,91.1,56.0,63.7,68.2,7.1,74.5
8.3,55.5,78.2,67.6,45.7,1.7,76.5
8.3,92.3,87.3,87.1,61.1,3.5,93.2
8.8,56.4,82.9,93.5,66.8,8.3,91.0
9.2,69.9,42.2,97.3,75.9,5.1,89.3
5.6,89.9,66.4,87.2,92.3,5.9,88.8
5.5,57.5,45.8,58.9,73.0,4.9,63.8
8.2,61.5,53.3,81.3,80.9,1.4,84.4
6.8,86.1,94.3,66.3,67.8,2.5,87.2
7.3,86.0,47.8,55.3,74.9,5.0,74.1
8.2,82.1,67.4,90.5,43.9,2.9,78.6
9.0,84.7,74.0,42.3,54.0,1.4,77.3
4.0,77.1,78.6,94.1,59.9,8.6,80.8
4.4,62.6,70.8,67.7,66.0,9.8,73.6
1.8,67.3,40.5,78.2,42.5,8.1,56.1
6.2,59.1,58.0,79.6,47.7,8.7,76.1
1.3,95.4,68.5,93.7,55.2,3.2,72.1
5.2,79.2,44.8,78.2,93.4,9.6,80.5
5.9,70.0,59.3,76.8,58.2,2.8,74.2
3.6,73.1,41.8,44.0,66.5,9.6,57.5
6.3,97.4,44.3,71.1,50.8,10.0,74.6
1.3,57.7,61.8,49.0,73.6,7.4,64.6
1.3,79.3,47.3,84.2,55.4,9.8,62.0
8.4,75.3,71.2,70.7,51.4,6.1,77.6
4.2,80.6,77.9,80.8,68.4,3.3,75.1
2.1,50.9,84.0,42.5,40.3,4.9,51.8
5.7,93.6,51.0,45.1,40.4,6.3,61.0
7.9,96.6,49.2,83.0,52.0,1.7,75.9
2.9,78.3,45.8,44.3,42.0,6.6,49.0
6.6,84.8,75.0,44.3,45.9,9.8,73.3
1.8,96.1,78.9,40.7,58.6,2.7,65.4
1.5,85.4,41.7,97.4,84.1,8.1,68.8
5.8,57.6,91.5,84.3,71.5,9.2,89.8
5.9,78.8,42.9,61.2,68.2,9.5,72.8
6.7,80.3,69.8,57.8,56.1,9.6,79.8
7.5,71.2,79.0,61.0,91.2,5.7,85.1
9.8,86.8,87.9,86.5,61.8,9.8,99.7
5.6,96.7,79.3,79.7,44.8,7.8,76.2
3.9,96.3,84.1,51.1,73.9,2.5,77.8
8.2,72.5,58.7,50.4,46.3,5.3,70.8
3.4,55.7,84.8,45.9,59.0,7.5,67.5
5.0,99.2,44.4,79.6,67.9,3.2,69.4
1.7,91.9,89.2,85.9,88.1,6.8,80.3
1.2,56.2,70.1,55.9,67.1,7.0,62.3
9.7,96.0,85.0,41.3,78.6,2.5,86.1
8.5,93.5,64.9,44.9,94.6,6.1,88.6
7.3,75.9,75.4,98.1,47.2,7.9,79.7
4.7,79.6,69.0,57.7,55.1,5.5,71.5
2.6,70.0,80.2,86.2,61.7,1.1,66.5
2.4,52.7,44.5,77.5,63.2,1.1,58.5
3.3,66.8,43.3,62.9,62.6,4.2,61.2
5.9,90.1,53.6,52.3,89.9,9.3,77.3
7.4,50.2,48.8,47.3,79.3,3.1,70.9
6.9,66.7,87.9,76.9,73.4,6.7,87.2
3.5,69.9,52.1,86.5,57.0,3.0,63.7
9.6,76.9,93.7,78.6,85.3,3.9,94.9
7.6,96.0,58.5,71.8,92.5,8.6,84.1
6.0,67.3,50.0,42.5,85.2,7.6,72.2
6.5,67.3,83.4,98.1,40.1,1.9,73.1
4.8,86.9,76.2,87.9,75.0,4.9,83.1
3.2,72.6,67.4,57.6,42.8,1.3,57.9
4.2,61.2,70.5,98.8,54.2,5.3,75.3
7.8,72.6,79.6,76.1,43.3,7.0,78.9
1.1,57.0,52.6,74.9,73.2,2.1,57.9
2.0,58.8,94.8,84.9,77.8,3.6,78.0
1.4,74.9,93.6,88.7,46.3,4.6,70.8
1.4,70.9,75.8,79.4,61.1,9.3,69.7
8.7,95.7,51.0,47.7,65.1,9.9,81.0
7.3,68.1,77.4,60.3,60.3,1.4,71.1
5.3,79.0,44.0,95.7,46.7,7.8,73.0
1.9,81.6,41.7,53.5,63.0,4.3,57.8
5.4,50.7,54.2,62.3,81.3,4.5,66.7
5.3,83.2,65.4,65.9,43.9,7.8,69.3
2.6,58.9,87.8,66.4,44.4,9.3,66.1
4.9,98.1,80.0,76.8,59.5,9.6,81.6
4.6,57.4,80.8,96.6,91.8,6.2,86.7
6.5,70.7,63.4,54.4,76.8,4.2,79.3
6.7,54.3,59.0,47.3,77.3,8.1,75.8
1.4,99.8,60.4,51.8,59.9,3.3,56.6
4.4,75.1,94.3,93.2,72.7,6.1,87.5
6.6,79.8,42.2,78.7,40.6,4.2,71.1
5.5,53.4,87.7,57.2,75.0,6.9,78.5
8.7,87.5,71.8,89.0,90.2,3.2,98.1
6.9,60.5,64.1,91.7,73.7,2.7,86.6
2.5,94.9,79.9,90.8,88.1,9.3,88.2
1.6,60.3,66.8,95.1,79.8,1.9,70.5
6.8,59.5,88.0,55.1,46.6,5.6,76.5
1.2,51.8,89.5,85.3,89.6,3.0,74.7
6.3,73.6,63.2,67.6,43.7,1.4,67.7
9.5,78.2,55.2,90.5,69.4,1.3,84.3
6.2,53.3,72.6,83.7,47.8,2.6,76.3
4.5,88.8,90.2,86.6,40.6,8.8,76.5
6.8,72.7,51.6,79.4,63.2,3.5,78.8
5.1,76.2,74.3,50.6,56.2,9.6,73.3
5.9,72.0,74.7,72.7,66.7,6.2,74.4
9.5,70.0,80.3,99.1,71.7,4.9,95.6
4.5,78.0,47.2,96.2,42.4,6.2,61.4
9.7,57.8,79.4,42.6,46.8,5.7,77.5
9.1,59.1,90.0,49.9,70.7,7.8,88.5
2.8,93.1,49.9,47.9,58.9,3.5,57.6
1.6,97.3,53.1,83.6,80.1,4.2,71.1
1.9,68.7,93.4,89.1,75.9,9.0,85.6
1.2,63.5,50.0,52.8,86.5,9.5,60.4
1.8,82.2,87.0,70.4,78.1,9.0,73.6
7.1,70.4,67.1,90.4,63.6,4.8,86.0
1.6,51.3,53.6,84.0,77.0,8.0,71.1
3.9,57.8,87.9,72.5,55.1,5.3,71.3
8.6,85.8,64.5,75.4,56.8,5.5,85.6
1.2,82.9,68.3,70.5,83.4,2.8,72.9
8.3,51.4,59.8,57.9,64.6,6.3,72.1
3.5,61.1,72.6,73.9,83.9,2.7,71.8
2.1,61.6,49.0,81.3,85.2,4.0,69.9
7.3,83.6,61.5,92.4,87.2,8.7,95.8
6.7,51.0,93.3,78.2,90.4,2.9,89.0
8.9,55.2,54.2,85.7,63.7,1.6,75.3
7.6,90.0,76.1,49.6,57.5,1.6,82.6
8.2,58.9,57.9,67.7,72.0,9.5,78.6
3.5,82.6,82.5,40.6,60.4,5.6,66.9
2.6,61.9,47.2,54.8,73.1,4.7,60.2
7.8,55.0,93.3,83.6,78.8,8.3,96.2
8.3,62.2,65.0,99.5,77.9,8.5,92.4
9.9,86.1,53.0,46.0,60.6,4.0,78.5
4.7,92.8,44.0,64.1,49.2,7.2,66.8
4.3,91.5,49.3,88.0,63.7,7.9,74.6
8.0,69.9,68.6,52.2,47.8,6.9,75.1
4.1,83.4,58.5,73.3,89.0,2.4,67.8
9.4,60.2,85.6,84.0,59.0,8.9,89.0
8.7,64.7,63.7,77.0,48.5,5.9,78.6
4.9,94.8,53.7,51.3,41.4,3.5,58.7
7.8,50.7,73.9,61.3,75.5,4.8,80.2
7.8,54.3,78.9,87.0,75.0,1.3,83.6
1.9,60.4,49.2,73.3,58.7,2.2,61.9
9.1,51.3,49.2,40.3,43.9,7.9,70.5
5.5,59.1,42.0,85.7,62.5,1.0,65.1
8.4,79.2,80.5,42.1,57.1,4.7,77.7
3.9,71.1,76.5,84.7,77.2,5.7,78.4
9.1,94.6,66.1,52.1,73.3,1.5,81.5
4.5,90.9,86.4,97.5,60.1,9.8,86.5
1.1,67.1,84.3,62.1,52.0,3.0,58.5
9.1,63.0,72.2,59.6,94.3,3.7,84.4
1.8,69.0,87.8,48.9,65.0,3.7,66.6
3.9,79.5,51.3,58.3,77.9,3.1,69.0
9.6,63.4,46.2,92.6,47.7,1.0,73.5
9.6,81.2,54.8,99.8,66.7,7.6,92.9
6.2,70.5,43.1,62.1,41.5,9.7,62.5
6.7,77.6,69.2,66.9,67.8,3.0,78.3
5.0,71.8,91.5,83.3,93.0,7.0,92.1
3.6,64.7,42.2,93.2,61.1,7.7,67.0
4.0,97.4,46.7,75.6,42.1,8.6,67.5
7.1,88.2,64.9,63.5,41.7,4.8,71.1
7.8,57.0,91.4,64.8,61.3,3.7,80.4
8.1,93.4,57.4,81.7,48.8,3.9,78.6
8.1,74.4,67.9,40.2,41.3,7.4,68.2
1.8,94.7,42.3,77.2,81.6,8.4,68.8
5.4,90.0,48.2,61.3,65.2,2.6,64.4
1.5,71.3,94.3,87.7,55.9,4.3,70.3
5.9,51.1,93.1,45.6,89.5,9.1,81.0
5.0,63.4,40.3,75.3,46.4,8.3,62.0
9.0,77.1,92.3,68.9,92.6,9.9,98.2
4.2,81.7,75.2,78.5,57.3,7.8,75.2
2.1,62.9,87.7,43.9,88.9,4.5,71.2
2.3,57.0,65.0,74.8,73.2,6.3,69.5
7.9,91.7,68.4,73.7,85.5,6.9,88.1
6.6,99.2,66.9,73.6,94.1,1.7,83.5
1.9,76.3,76.7,76.2,55.9,5.9,64.4
1.8,58.6,47.7,80.6,92.9,7.4,66.7
7.3,63.6,41.6,88.3,61.4,2.5,71.4
1.7,50.9,56.9,56.2,61.2,8.0,54.3
8.4,95.7,78.8,89.5,58.7,6.3,86.9
7.4,55.9,51.1,69.9,69.8,9.6,74.4
1.7,78.8,77.0,44.6,48.5,1.4,57.7
1.8,63.7,93.3,43.5,70.5,3.4,67.1
9.9,77.7,45.2,60.1,69.8,6.4,78.6
4.4,82.6,77.0,87.1,81.9,3.7,81.0
4.3,91.5,64.4,82.5,85.9,7.4,79.6
8.3,60.3,87.7,87.3,64.2,7.8,89.1
9.5,50.5,49.7,71.0,56.6,1.9,70.6
9.9,56.8,78.1,66.4,54.3,5.6,84.1
7.8,95.0,86.1,48.8,50.7,5.6,75.1
4.4,93.7,92.0,59.7,43.2,4.3,71.8
1.8,79.9,77.6,66.0,58.8,9.4,69.3
8.0,80.0,67.3,45.3,54.9,8.4,76.4
6.0,83.3,74.0,53.2,93.2,7.3,91.7
4.8,58.8,87.8,75.9,70.7,7.4,80.4
9.2,95.7,71.4,84.1,59.1,5.2,86.3
2.0,70.9,41.7,99.9,71.9,9.3,68.4
5.4,69.2,91.2,96.0,47.7,7.3,76.2
1.1,75.9,77.9,78.6,64.4,7.6,69.0
5.2,52.3,77.2,65.3,74.4,8.8,73.7
1.5,58.3,51.9,78.2,66.9,3.5,62.3
2.1,86.9,76.2,87.1,62.1,8.3,72.7
2.1,54.1,61.7,47.1,94.7,2.8,62.8
6.8,80.2,75.8,64.6,88.4,4.1,83.3
7.7,62.3,45.9,90.4,74.3,4.0,84.0
6.3,69.5,76.2,63.0,71.3,9.8,79.5
9.7,64.4,95.0,74.3,74.1,8.7,100.0
4.4,67.8,42.7,75.3,51.1,7.3,65.7
3.6,86.0,93.7,51.1,61.7,7.5,76.1
8.8,64.9,62.4,61.7,42.2,6.1,74.4
3.0,78.3,87.9,60.1,66.2,9.5,75.7
9.7,73.8,83.0,41.6,69.9,5.5,78.7
1.1,83.2,71.2,41.5,52.5,4.4,55.8
9.7,96.8,80.6,89.9,93.0,2.5,100.0
1.4,86.6,88.3,56.4,90.0,8.1,76.2
9.0,60.7,62.2,71.1,79.7,7.6,81.0
5.7,51.6,58.0,57.9,69.3,4.5,67.6
9.9,63.1,76.7,96.4,87.8,1.2,100.0
1.7,79.8,84.4,55.6,47.2,8.6,68.2
6.0,52.6,81.9,65.8,83.5,1.1,77.7
9.7,74.8,83.9,92.4,46.9,7.3,93.2
5.7,79.8,64.0,90.5,83.7,9.7,85.0
6.7,66.7,85.0,51.2,55.2,4.9,69.3
7.3,88.5,46.6,88.2,88.2,3.1,81.6
5.1,55.3,69.9,67.5,91.9,7.3,83.4
6.6,53.8,40.3,69.0,48.2,8.4,64.0
6.3,86.4,57.9,48.0,65.4,5.9,71.3
9.1,74.8,60.2,44.8,94.0,9.7,85.4
1.4,84.4,61.8,83.7,66.6,1.5,71.5
3.5,71.7,78.3,69.8,87.5,5.5,82.6
9.6,62.3,61.4,66.2,72.4,7.5,90.3
9.0,91.0,64.7,83.8,60.6,8.8,88.2
5.1,90.0,53.1,85.9,55.7,2.6,72.8
6.6,84.7,60.5,49.5,51.2,8.2,66.5
3.5,63.6,52.5,76.6,81.9,6.0,74.6
2.7,79.5,44.0,48.1,61.3,4.6,53.4
5.2,68.0,73.2,85.1,68.1,2.2,77.2
4.2,54.6,76.8,79.4,67.1,8.8,71.6
6.3,95.9,74.1,97.4,71.8,2.4,85.4
